episode,total_reward,avg_reward_per_step,actor_loss,critic_loss,entropy,avg_queue
0,-528.4444444444445,-2.6422222222222222,-0.00011503775749588385,2273.099609375,0.6547513008117676,23.78
1,-524.4444444444443,-2.622222222222222,-0.0002175101253669709,2197.261962890625,0.6516802906990051,23.6
2,-498.2222222222223,-2.4911111111111115,-2.065314220089931e-05,2012.994873046875,0.6485836505889893,22.42
3,-557.3333333333335,-2.7866666666666675,-3.147059032926336e-06,2615.963623046875,0.650272786617279,25.08
4,-595.5555555555554,-2.977777777777777,-1.774271368049085e-05,2812.08349609375,0.6467458009719849,26.8
5,-478.222222222222,-2.39111111111111,-5.3734780522063375e-05,1918.225341796875,0.6485047936439514,21.52
6,-498.6666666666665,-2.4933333333333327,-3.2814212318044156e-05,1951.7718505859375,0.6489462852478027,22.44
7,-550.222222222222,-2.7511111111111095,-1.8232332877232693e-05,2439.09326171875,0.6504291892051697,24.76
8,-520.0,-2.6,9.05805154616246e-06,2199.25244140625,0.6508361101150513,23.4
9,-545.3333333333334,-2.726666666666667,-2.292566750838887e-05,2500.55908203125,0.6474162340164185,24.54
10,-462.66666666666686,-2.3133333333333344,-2.9399858249234967e-05,1704.85009765625,0.6505131721496582,20.82
11,-675.1111111111115,-3.375555555555558,-2.4459428459522314e-05,3709.755615234375,0.6484952569007874,30.38
12,-470.22222222222194,-2.3511111111111096,-2.7419197067501955e-05,1749.0302734375,0.651275098323822,21.16
13,-526.6666666666669,-2.633333333333334,-3.9802260289434344e-05,2318.71337890625,0.6523073315620422,23.7
14,-612.8888888888888,-3.064444444444444,-5.315800444805063e-05,3103.95556640625,0.6517032384872437,27.58
15,-627.9999999999999,-3.1399999999999992,-7.243792060762644e-05,3199.869140625,0.6514883041381836,28.26
16,-551.5555555555557,-2.757777777777778,-3.563940481399186e-05,2500.065673828125,0.6528804302215576,24.82
17,-575.5555555555554,-2.8777777777777773,1.5677478586439975e-05,2894.24658203125,0.6540871858596802,25.9
18,-526.2222222222223,-2.6311111111111116,-6.32862575002946e-05,2301.6357421875,0.6521870493888855,23.68
19,-510.22222222222206,-2.55111111111111,2.450095234962646e-05,2049.768798828125,0.6540254950523376,22.96
20,-525.7777777777776,-2.628888888888888,-9.267826681025326e-05,2334.92822265625,0.652100145816803,23.66
21,-502.22222222222223,-2.511111111111111,-0.00020819850033149123,1973.951416015625,0.6550732254981995,22.6
22,-501.77777777777754,-2.5088888888888876,-0.00017065167776308954,1987.1290283203125,0.657238781452179,22.58
23,-530.6666666666665,-2.6533333333333324,-2.169675326513243e-06,2222.333251953125,0.6588870286941528,23.88
24,-581.3333333333334,-2.9066666666666667,-4.955795157002285e-05,2785.0810546875,0.6582435965538025,26.16
25,-489.77777777777766,-2.4488888888888884,3.941873728763312e-05,1975.05810546875,0.6610389947891235,22.04
26,-510.2222222222222,-2.5511111111111107,3.109640601905994e-06,2186.63330078125,0.6600342988967896,22.96
27,-484.88888888888886,-2.424444444444444,-3.8282538298517466e-05,1965.8839111328125,0.659850001335144,21.82
28,-573.3333333333334,-2.8666666666666667,5.9070853239973076e-06,2618.4599609375,0.6598920226097107,25.8
29,-487.99999999999994,-2.4399999999999995,-2.9982460546307266e-05,1969.5548095703125,0.6595499515533447,21.96
30,-515.5555555555558,-2.577777777777779,-1.0567903245828347e-06,2120.2412109375,0.6606760025024414,23.2
31,-534.6666666666667,-2.673333333333334,-3.457565981079824e-05,2165.113525390625,0.6593219637870789,24.06
32,-661.3333333333334,-3.3066666666666666,-0.00010160730744246393,3595.3583984375,0.657149076461792,29.76
33,-514.6666666666666,-2.5733333333333333,-1.777966826921329e-05,2091.7763671875,0.6584649085998535,23.16
34,-572.4444444444445,-2.8622222222222224,-9.361081902170554e-05,2646.56494140625,0.6559199094772339,25.76
35,-564.4444444444445,-2.8222222222222224,-0.00016424464411102235,2596.227783203125,0.6558139324188232,25.4
36,-451.111111111111,-2.2555555555555546,-0.00010886709060287103,1520.83251953125,0.6538962125778198,20.3
37,-493.333333333333,-2.466666666666665,-5.0019557420455385e-06,1971.7354736328125,0.6533725261688232,22.2
38,-534.2222222222222,-2.6711111111111108,-0.00013658186071552336,2255.571533203125,0.6528176665306091,24.04
39,-583.1111111111117,-2.9155555555555583,4.7923193051246926e-05,2793.7265625,0.6524549722671509,26.24
40,-558.6666666666667,-2.793333333333334,-7.681958959437907e-05,2374.77001953125,0.6506352424621582,25.14
41,-504.88888888888874,-2.524444444444444,-6.616658356506377e-05,1924.2086181640625,0.6491764187812805,22.72
42,-523.111111111111,-2.615555555555555,-4.710369466920383e-05,2219.884765625,0.650015115737915,23.54
43,-636.8888888888889,-3.1844444444444444,-7.294178067240864e-05,3284.93212890625,0.647223711013794,28.66
44,-536.0000000000001,-2.6800000000000006,-0.00011924584396183491,2442.853759765625,0.6482985019683838,24.12
45,-511.1111111111111,-2.5555555555555554,3.7295154470484704e-05,2150.2744140625,0.647149384021759,23.0
46,-502.222222222222,-2.51111111111111,-0.00011201848246855661,1963.772705078125,0.647434651851654,22.6
47,-527.1111111111109,-2.635555555555554,-3.1529136322205886e-05,2239.078125,0.6485521793365479,23.72
48,-462.6666666666666,-2.313333333333333,-8.951922063715756e-05,1646.5423583984375,0.649591326713562,20.82
49,-537.3333333333334,-2.686666666666667,1.0943744200631045e-05,2304.20166015625,0.6511719226837158,24.18
